"_wks_percentile_bucket","_wkshell","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","GO","IsSingleNode","layers_ppin","name","NeighborhoodConnectivity","noefftarg","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Phenotype","Radiality","selected","SelfLoops","shared name","shells_ppin","Stress","targ","TopologicalCoefficient","Yali_pheno","Yali_pheno111"
"0","1","1.0","0.0","1.0","0.0","1","1","","false","Peripharal","AT4G04720","1.0","","1","0","0","4CND","1.0","false","0","AT4G04720","60","0","","0.0","",""
"0","1","1.0","0.0","1.0","0.0","1","1","","false","Peripharal","AT3G57830","1.0","","1","0","0","","1.0","false","0","AT3G57830","62","0","","0.0","",""
"15","5","5.27566321","0.0","0.18954963","0.0","1","8","","false","Peripharal","AT3G57720","9.0","","1","0","0","","0.61130334","false","0","AT3G57720","47","0","EffeTarg","0.0","",""
"10","3","5.34602076","0.0","0.18705502","0.0","1","9","","false","Peripharal","AT5G03670","5.0","","1","0","0","","0.6049072","false","0","AT5G03670","47","0","","0.0","",""
"30","13","4.35870819","7.9286E-4","0.22942577","0.0","2","8","","false","Peripharal","AT4G15140","13.0","","2","0","0","","0.69466289","false","0","AT4G15140","29","6014","EffeTarg","0.52173913","",""
"85","47","4.98846597","0.0","0.20046243","0.0","1","9","","false","inner","AT3G55600","103.0","","1","0","0","","0.63741218","false","0","AT3G55600","3","0","","0.0","",""
"30","12","5.12456747","0.0","0.19513842","0.0","1","8","","false","Peripharal","AT3G55150","23.0","","1","0","0","","0.62503932","false","0","AT3G55150","34","0","","0.0","",""
"55","24","4.6828143","8.9814E-4","0.2135468","0.0","4","8","","false","inner","AT3G54850","11.25","","4","0","0","","0.6651987","false","0","AT3G54850","18","17506","EffeTarg","0.3203125","",""
"85","47","4.98846597","0.0","0.20046243","0.0","1","9","","false","inner","AT3G54820","103.0","","1","0","0","","0.63741218","false","0","AT3G54820","3","0","","0.0","",""
"5","2","5.34486736","0.0","0.18709538","0.0","1","9","","false","Peripharal","AT5G49140","2.0","","1","0","0","","0.60501206","false","0","AT5G49140","47","0","","0.0","",""
"25","7","5.34948097","0.0","0.18693402","0.0","1","8","","false","Peripharal","AT3G54170","12.0","","1","0","0","1ESN","0.60459264","false","0","AT3G54170","47","0","EffeTarg","0.0","",""
"85","47","4.98846597","0.0","0.20046243","0.0","1","9","","false","inner","AT3G54020","103.0","","1","0","0","","0.63741218","false","0","AT3G54020","3","0","","0.0","",""
"10","3","6.28027682","0.00230681","0.15922865","0.0","2","10","","false","Peripharal","AT5G43020","1.5","","2","0","0","","0.51997483","false","0","AT5G43020","47","15556","","0.5","Yali","Yali"
"25","7","4.61245675","0.0","0.2168042","0.0","1","8","","false","Peripharal","AT3G53410","13.0","","1","0","0","","0.67159484","false","0","AT3G53410","47","0","EffeTarg","0.0","",""
"5","2","5.74163783","0.0","0.17416633","0.0","1","9","","false","Peripharal","AT4G13540","3.0","","1","0","0","","0.56894202","false","0","AT4G13540","47","0","","0.0","",""
"85","47","4.98846597","0.0","0.20046243","0.0","1","9","","false","inner","AT3G51450","103.0","","1","0","0","","0.63741218","false","0","AT3G51450","3","0","","0.0","",""
